iter	Passed	Remaining
0	7	47870
1	13	42898
2	17	38751
3	21	35144
4	26	33878
5	29	31890
6	32	30400
7	35	28896
8	39	28262
9	41	27092
10	44	26131
11	47	25691
12	51	25713
13	54	25049
14	56	24502
15	59	24061
16	64	24328
17	66	23919
18	69	23538
19	71	23190
20	75	23235
21	79	23175
22	81	22890
23	84	22639
24	87	22661
25	90	22395
26	92	22193
27	95	22058
28	99	22036
29	101	21839
30	104	21638
31	106	21446
32	110	21527
33	112	21358
34	115	21203
35	117	21050
36	121	21072
37	123	20929
38	126	20851
39	128	20731
40	132	20782
41	134	20669
42	137	20554
43	139	20443
44	143	20549
45	147	20592
46	150	20509
47	152	20412
48	156	20467
49	159	20457
50	161	20376
51	164	20285
52	167	20302
53	170	20225
54	172	20163
55	175	20125
56	178	20147
57	181	20067
58	183	20000
59	186	19926
60	190	20019
61	193	19963
62	195	19898
63	197	19827
64	201	19853
65	203	19794
66	206	19748
67	209	19692
68	212	19717
69	214	19657
70	217	19599
71	219	19544
72	223	19611
73	226	19559
74	228	19505
75	231	19461
76	234	19496
77	237	19490
78	240	19449
79	242	19400
80	246	19421
81	248	19373
82	251	19325
83	254	19323
84	258	19393
85	260	19376
86	263	19333
87	265	19297
88	270	19376
89	272	19347
90	275	19305
91	277	19266
92	281	19297
93	283	19260
94	286	19261
95	289	19223
96	292	19244
97	295	19205
98	297	19169
99	300	19146
100	304	19183
101	306	19148
102	309	19115
103	311	19077
104	314	19096
105	317	19076
106	320	19055
107	322	19021
108	326	19043
109	328	19010
110	331	18980
111	334	18987
112	337	19012
113	340	18984
114	342	18955
115	345	18935
116	349	18977
117	352	18969
118	355	18979
119	358	18961
120	361	18991
121	364	18988
