,sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
0,제주도,제주시,도심,교통,내국인관광객,60대이상,여,201609,1186,1524,114798442
1,제주도,제주시,도심,교통,내국인관광객,60대이상,남,201609,2641,3398,252053548
2,제주도,제주시,도심,교통,내국인관광객,50대,여,201609,2980,3740,287134905
3,제주도,제주시,도심,교통,내국인관광객,50대,남,201609,5592,7093,514424651
4,제주도,제주시,도심,교통,내국인관광객,40대,여,201609,4682,5860,453708282
5,제주도,제주시,도심,교통,내국인관광객,40대,남,201609,8736,10882,753270145
6,제주도,제주시,도심,교통,내국인관광객,30대,여,201609,9372,11379,774039143
7,제주도,제주시,도심,교통,내국인관광객,30대,남,201609,12537,15108,948196053
8,제주도,제주시,도심,교통,내국인관광객,20대,여,201609,5497,6505,421090388
9,제주도,제주시,도심,교통,내국인관광객,20대,남,201609,4246,5080,282761403
10,제주도,제주시,도심,교통,내국인관광객,60대이상,여,201610,1234,1561,117894426
11,제주도,제주시,도심,교통,내국인관광객,60대이상,남,201610,2774,3499,235093619
12,제주도,제주시,도심,교통,내국인관광객,50대,여,201610,3373,4165,324913776
13,제주도,제주시,도심,교통,내국인관광객,50대,남,201610,5954,7632,512046361
14,제주도,제주시,도심,교통,내국인관광객,40대,여,201610,4994,6304,478440316
15,제주도,제주시,도심,교통,내국인관광객,40대,남,201610,9226,11604,789695163
16,제주도,제주시,도심,교통,내국인관광객,30대,여,201610,8436,10349,718280329
17,제주도,제주시,도심,교통,내국인관광객,30대,남,201610,11027,13261,839422951
18,제주도,제주시,도심,교통,내국인관광객,20대,여,201610,4825,5752,412202743
19,제주도,제주시,도심,교통,내국인관광객,20대,남,201610,3763,4679,278104265
20,제주도,제주시,도심,교통,내국인관광객,60대이상,여,201611,1154,1507,107073128
21,제주도,제주시,도심,교통,내국인관광객,60대이상,남,201611,2656,3427,257142846
22,제주도,제주시,도심,교통,내국인관광객,50대,여,201611,3202,4081,285927577
23,제주도,제주시,도심,교통,내국인관광객,50대,남,201611,6122,8035,633905066
24,제주도,제주시,도심,교통,내국인관광객,40대,여,201611,4648,5908,455419177
25,제주도,제주시,도심,교통,내국인관광객,40대,남,201611,8161,10402,789916881
26,제주도,제주시,도심,교통,내국인관광객,30대,여,201611,7451,9164,669269161
27,제주도,제주시,도심,교통,내국인관광객,30대,남,201611,9321,11403,769337768
28,제주도,제주시,도심,교통,내국인관광객,20대,여,201611,4820,5835,482740112
29,제주도,제주시,도심,교통,내국인관광객,20대,남,201611,3637,4523,314244291
30,제주도,제주시,도심,교통,내국인관광객,60대이상,여,201612,1068,1454,116674371
31,제주도,제주시,도심,교통,내국인관광객,60대이상,남,201612,2542,3362,263086281
32,제주도,제주시,도심,교통,내국인관광객,50대,여,201612,3127,4061,313767092
33,제주도,제주시,도심,교통,내국인관광객,50대,남,201612,6477,8521,675628322
34,제주도,제주시,도심,교통,내국인관광객,40대,여,201612,4751,6278,573679914
35,제주도,제주시,도심,교통,내국인관광객,40대,남,201612,8602,11182,852077613
36,제주도,제주시,도심,교통,내국인관광객,30대,여,201612,7276,9059,752842128
37,제주도,제주시,도심,교통,내국인관광객,30대,남,201612,9824,12216,867516056
38,제주도,제주시,도심,교통,내국인관광객,20대,여,201612,5761,7031,637986798
39,제주도,제주시,도심,교통,내국인관광객,20대,남,201612,4358,5447,405084254
40,제주도,제주시,도심,교통,내국인관광객,60대이상,여,201701,1106,1448,137444846
41,제주도,제주시,도심,교통,내국인관광객,60대이상,남,201701,2529,3250,243979223
42,제주도,제주시,도심,교통,내국인관광객,50대,여,201701,3444,4453,401113405
43,제주도,제주시,도심,교통,내국인관광객,50대,남,201701,7087,9142,807472424
44,제주도,제주시,도심,교통,내국인관광객,40대,여,201701,5211,6654,621234912
45,제주도,제주시,도심,교통,내국인관광객,40대,남,201701,9166,11701,1009519278
46,제주도,제주시,도심,교통,내국인관광객,30대,여,201701,6958,8708,870793465
47,제주도,제주시,도심,교통,내국인관광객,30대,남,201701,8485,10600,886509487
48,제주도,제주시,도심,교통,내국인관광객,20대,여,201701,5498,6779,656129615
